Reviewed,Reviewer,Date,Content
138488,41385,Dec 19 2020,"
Help breast cancer researchers by answering questions about pictures of mannequin ($0.5, ~10 min)
"
138489,104269,Dec 19 2020,"
Answer a survey about your personality
"
138490,90240,Dec 19 2020,"
Your perspectives on romantic relationships
"
138491,96716,Dec 19 2020,"
Answer a 5 minute survey about social situations.
"
138492,138265,Dec 19 2020,"
Simple transcription from image (~1 minute)
"
138493,28930,Dec 19 2020,"
Reactions to Diversity/Inclusion Lessons (~ 15 minutes)
"
138494,15365,Dec 19 2020,"
Chrome Browser users: Participants needed for advertising study
"
138495,106430,Dec 19 2020,"
A 15-min survey about workplace communication behaviors
"
138496,31178,Dec 19 2020,"
Play an online ball tossing game and answer questions about your experience.(~ 15 minutes)
"
138497,10866,Dec 19 2020,"
User experience with a smart fridge(~ 20 minutes)
"
138498,97765,Dec 19 2020,"
Answer a survey about the government's role in income redistribution
"
138499,97765,Dec 19 2020,"
A 15-min survey about workplace communication behaviors
"
138500,74522,Dec 19 2020,"
Compensation HIT - designated workers only
"
138501,97765,Dec 19 2020,"
Evaluate job candidates for a research project(~ 8 minutes)
"
138502,97765,Dec 19 2020,"
Short research study (5min) for $1
"
138503,48737,Dec 19 2020,"
Test out your decision-making!(~ 30 minutes)
"
138504,74522,Dec 19 2020,"
Native English speakers only! - Read a short story and answer some questions
"
138505,74522,Dec 19 2020,"
Answer an open-ended survey about your opinions on doxing on social platforms
"
138506,114443,Dec 19 2020,"
Survey on consumer topics 5-7 minute BONUSES (5/27/20 - A) (YOU MAY ONLY COMPLETE 1 HIT IN THIS GROUP)
"
138507,84050,Dec 18 2020,"
Answer a 10 second survey about badges on staff uniforms
"
138508,114443,Dec 18 2020,"
Perceptions of People with Difficulties(~ 15 minutes)
"
138509,128043,Dec 18 2020,"
Answer a survey about movies 
"
138510,97110,Dec 18 2020,"
Disruptions in supplier chain
"
138511,41385,Dec 19 2020,"
Help breast cancer researchers by answering questions about pictures of mannequin ($0.5, ~10 min)
"
138512,104269,Dec 19 2020,"
Answer a survey about your personality
"
138513,90240,Dec 19 2020,"
Your perspectives on romantic relationships
"
138514,96716,Dec 19 2020,"
Answer a 5 minute survey about social situations.
"
138515,138265,Dec 19 2020,"
Simple transcription from image (~1 minute)
"
138516,28930,Dec 19 2020,"
Reactions to Diversity/Inclusion Lessons (~ 15 minutes)
"
138517,15365,Dec 19 2020,"
Chrome Browser users: Participants needed for advertising study
"
138518,106430,Dec 19 2020,"
A 15-min survey about workplace communication behaviors
"
138519,31178,Dec 19 2020,"
Play an online ball tossing game and answer questions about your experience.(~ 15 minutes)
"
138520,10866,Dec 19 2020,"
User experience with a smart fridge(~ 20 minutes)
"
138521,97765,Dec 19 2020,"
Answer a survey about the government's role in income redistribution
"
138522,97765,Dec 19 2020,"
A 15-min survey about workplace communication behaviors
"
138523,74522,Dec 19 2020,"
Compensation HIT - designated workers only
"
138524,97765,Dec 19 2020,"
Evaluate job candidates for a research project(~ 8 minutes)
"
138525,97765,Dec 19 2020,"
Short research study (5min) for $1
"
138526,48737,Dec 19 2020,"
Test out your decision-making!(~ 30 minutes)
"
138527,74522,Dec 19 2020,"
Native English speakers only! - Read a short story and answer some questions
"
138528,74522,Dec 19 2020,"
Answer an open-ended survey about your opinions on doxing on social platforms
"
138529,114443,Dec 19 2020,"
Survey on consumer topics 5-7 minute BONUSES (5/27/20 - A) (YOU MAY ONLY COMPLETE 1 HIT IN THIS GROUP)
"
138530,84050,Dec 18 2020,"
Answer a 10 second survey about badges on staff uniforms
"
138531,114443,Dec 18 2020,"
Perceptions of People with Difficulties(~ 15 minutes)
"
138532,128043,Dec 18 2020,"
Answer a survey about movies 
"
138533,97110,Dec 18 2020,"
Disruptions in supplier chain
"
138534,131917,Dec 18 2020,"
Complete a research survey on employee decision making
"
138535,48868,Dec 18 2020,"
7mins_Online News Survey
"
138536,28080,Dec 18 2020,"
Rate Outdoor Images
"
138537,90240,Dec 18 2020,"
Consumer Experiences 2
"
138538,28080,Dec 18 2020,"
Incentives and Motivation(~ 10 minutes)
"
138539,15365,Dec 18 2020,"
Short survey about consumer behavior during current pandemic
"
138540,107409,Dec 18 2020,"
Short survey about consumer behavior during current pandemic
"
138541,39310,Dec 18 2020,"
Find LinkedIn Profile 
"
138542,135617,Dec 18 2020,"
Your Views on Past and Current Events: A ~10 minute survey
"
138543,39310,Dec 18 2020,"
Social media engagement ~15 mins (MOBILE ONLY)(~ 15 minutes)
"
138544,39310,Dec 18 2020,"
 Planning Experiment(~ 25 minutes)
"
138545,39310,Dec 18 2020,"
Academic Research Survey (15 Minutes)(~ 15 minutes)
"
138546,108834,Dec 18 2020,"
Play a Game with Others(~ 40 minutes)
"
138547,114443,Dec 18 2020,"
Short paid screener survey to determine eligibility(~ 1 minutes)
"
138548,114223,Dec 18 2020,"
Earn up to $8.50 by completing a study and game on financial decision-making
"
138549,31284,Dec 18 2020,"
Ask questions about topics in the news
"
138550,114443,Dec 18 2020,"
Research study(~ 15 minutes)
"
138551,90240,Dec 18 2020,"
Transcribe a short audio clip of video game streamers
"
